,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
56,1.0,Brandon Aiyuk,22.0,2020,9.9,9.0,64.5,80.1,49.0,60.0,432.0,89.4,93.0,748.0,286.0,4.8,12.5,1.73,8.043010752688172,2020,2
57,2.0,Tee Higgins,21.0,2020,12.9,6.0,63.8,75.9,67.0,67.0,496.0,106.4,105.0,908.0,304.0,4.5,13.6,1.83,8.647619047619047,2020,2
58,2.0,Michael Pittman Jr.,22.0,2020,8.7,4.0,70.2,62.6,45.0,40.0,367.0,95.9,57.0,503.0,279.0,7.0,12.6,1.37,8.824561403508772,2020,2
59,2.0,Laviska Shenault Jr.,21.0,2020,6.6,16.0,75.3,71.5,36.0,58.0,388.0,119.0,77.0,600.0,300.0,5.2,10.3,1.55,7.792207792207792,2020,0
60,2.0,KJ Hamler,21.0,2020,10.9,5.0,55.6,55.9,49.0,30.0,326.0,73.1,54.0,381.0,123.0,4.1,12.7,1.17,7.055555555555555,2020,0
61,2.0,Chase Claypool,22.0,2020,13.8,9.0,60.2,75.6,84.0,62.0,437.0,116.7,103.0,873.0,333.0,5.4,14.1,2.0,8.475728155339805,2020,0
62,2.0,Van Jefferson,24.0,2020,11.5,2.0,67.9,67.1,31.0,19.0,154.0,73.5,28.0,220.0,49.0,2.6,11.6,1.43,7.857142857142857,2020,0
63,2.0,Denzel Mims,22.0,2020,15.8,4.0,56.1,69.4,30.0,23.0,247.0,74.9,41.0,357.0,102.0,4.4,15.5,1.45,8.707317073170731,2020,0
64,3.0,Bryan Edwards,21.0,2020,9.9,4.0,78.6,69.5,34.0,11.0,137.0,142.6,14.0,193.0,77.0,7.0,17.5,1.41,13.785714285714286,2020,0
65,3.0,Devin Duvernay,22.0,2020,6.3,4.0,80.0,60.5,39.0,20.0,193.0,66.8,25.0,201.0,118.0,5.9,10.1,1.04,8.04,2020,0
66,4.0,Antonio Gandy-Golden,22.0,2020,13.3,0.0,14.3,44.6,3.0,1.0,83.0,39.6,7.0,3.0,1.0,1.0,3.0,0.04,0.42857142857142855,2020,0
67,5.0,Tyler Johnson,22.0,2020,11.8,3.0,75.0,58.9,35.0,12.0,162.0,148.2,16.0,169.0,73.0,6.1,14.1,1.04,10.5625,2020,0
68,5.0,Collin Johnson,22.0,2020,13.3,2.0,60.0,73.4,46.0,18.0,170.0,98.2,30.0,272.0,64.0,3.6,15.1,1.6,9.066666666666666,2020,0
69,5.0,Quintez Cephus,22.0,2020,14.9,1.0,62.5,64.8,49.0,20.0,216.0,120.4,32.0,349.0,82.0,4.1,17.5,1.62,10.90625,2020,0
70,5.0,John Hightower,24.0,2020,22.4,1.0,34.5,50.5,59.0,10.0,231.0,15.2,29.0,167.0,60.0,6.0,16.7,0.72,5.758620689655173,2020,0
71,5.0,Darnell Mooney,22.0,2020,11.8,17.0,64.9,68.7,53.0,61.0,524.0,89.5,94.0,631.0,273.0,4.5,10.3,1.2,6.712765957446808,2020,0
72,6.0,Donovan Peoples-Jones,21.0,2020,17.6,1.0,70.0,71.8,75.0,14.0,130.0,145.8,20.0,304.0,80.0,5.7,21.7,2.34,15.2,2020,0
