Player,Rookie year,"1,000 Yard Seasons"
Terrence Austin,2010,0
Marc Mariani,2010,0
Dorin Dickerson,2010,0
Tim Toone,2010,0
Darrius Heyward-Bey,2009,0
Michael Crabtree,2009,2
Jeremy Maclin,2009,2
Percy Harvin,2009,0
Hakeem Nicks,2009,2
Kenny Britt,2009,1
Brian Robiskie,2009,0
Mohamed Massaquoi,2009,0
Derrick Williams,2009,0
Brandon Tate,2009,0
Mike Wallace,2009,3
Ramses Barden,2009,0
Patrick Turner,2009,0
Deon Butler,2009,0
Juaquin Iglesias,2009,0
Mike Thomas,2009,0
Brian Hartline,2009,2
Louis Murphy,2009,0
Austin Collie,2009,0
Johnny Knox,2009,0
Kenny McKinley,2009,0
Jarett Dillard,2009,0
Brooks Foster,2009,0
Quinten Lawrence,2009,0
Brandon Gibson,2009,0
Dominique Edison,2009,0
Demetrius Byrd,2009,0
Manuel Johnson,2009,0
Julian Edelman,2009,3
Sammie Stroughter,2009,0
Marko Mitchell,2009,0
Derek Kinder,2009,0
Freddie Brown,2009,0
Tiquan Underwood,2009,0
Donnie Avery,2008,0
Devin Thomas,2008,0
Jordy Nelson,2008,4
James Hardy,2008,0
Eddie Royal,2008,0
Jerome Simpson,2008,0
DeSean Jackson,2008,5
Malcolm Kelly,2008,0
Limas Sweed,2008,0
Dexter Jackson,2008,0
Earl Bennett,2008,0
Early Doucet,2008,0
Harry Douglas,2008,1
Mario Manningham,2008,0
Andre Caldwell,2008,0
Will Franklin,2008,0
Marcus Smith,2008,0
Arman Shields,2008,0
Lavelle Hawkins,2008,0
Keenan Burton,2008,0
Kenny Moore,2008,0
Matthew Slater,2008,0
Marcus Henry,2008,0
Josh Morgan,2008,0
Kevin Robinson,2008,0
Paul Hubbard,2008,0
Jaymar Johnson,2008,0
Pierre Garcon,2008,2
Justin Harper,2008,0
Brett Swain,2008,0
Stevie Johnson,2008,0
Chaz Schilens,2008,0
Adrian Arrington,2008,0
Mario Urrutia,2008,0
Marcus Monk,2008,0
Calvin Johnson,2007,8
Ted Ginn Jr.,2007,0
Dwayne Bowe,2007,3
Robert Meachem,2007,0
Craig Davis,2007,0
Anthony Gonzalez,2007,0
Sidney Rice,2007,1
Dwayne Jarrett,2007,0
Steve Smith,2007,0
Jacoby Jones,2007,0
Yamon Figurs,2007,0
Laurent Robinson,2007,0
Jason Hill,2007,0
James Jones,2007,0
Mike Sims-Walker,2007,0
Paul Williams,2007,0
Johnnie Lee Higgins,2007,0
Ryne Robinson,2007,0
Chris Davis,2007,0
Steve Breaston,2007,1
Aundrae Allison,2007,0
David Clowney,2007,0
Roy Hall,2007,0
Legedu Naanee,2007,0
Joel Filani,2007,0
Courtney Taylor,2007,0
Jordan Kent,2007,0
Dallas Baker,2007,0
John Broussard,2007,0
Chandler Williams,2007,0
Syndric Steptoe,2007,0
Chansi Stuckey,2007,0
Derek Stanley,2007,0
Jonathan Holland,2007,0
Santonio Holmes,2006,1
Chad Jackson,2006,0
Sinorice Moss,2006,0
Greg Jennings,2006,4
Travis Wilson,2006,0
Derek Hagan,2006,0
Brandon Williams,2006,0
Maurice Stovall,2006,0
Willie Reid,2006,0
Michael Robinson,2006,0
Cory Rodgers,2006,0
Jason Avant,2006,0
Demetrius Williams,2006,0
Brandon Marshall,2006,8
Skyler Green,2006,0
Domenik Hixon,2006,0
Marques Hagans,2006,0
Mike Hass,2006,0
Jonathan Orr,2006,0
Delanie Walker,2006,1
Adam Jennings,2006,0
Jeff Webb,2006,0
Ethan Kilmer,2006,0
Todd Watkins,2006,0
Bennie Brazell,2006,0
Devin Aromashodu,2006,0
Ben Obomanu,2006,0
David Anderson,2006,0
Marques Colston,2006,7
Kevin McMahan,2006,0
