,Player,avoided_tackles,grades_offense,longest,receptions,routes,targets,yards,yards_after_catch,yprr,ypt,"1,000 Yard Seasons"
300,Harry Douglas,1.0,61.1,69.0,23.0,294.0,39.0,320.0,119.0,1.09,8.205128205128204,1
301,Mario Manningham,1.0,58.1,11.0,4.0,20.0,5.0,26.0,22.0,1.3,5.2,0
302,Andre Caldwell,1.0,67.2,15.0,11.0,86.0,15.0,78.0,48.0,0.91,5.2,0
303,Will Franklin,3.0,46.6,42.0,7.0,214.0,17.0,83.0,33.0,0.39,4.882352941176471,0
304,Lavelle Hawkins,1.0,64.8,19.0,7.0,84.0,9.0,68.0,20.0,0.81,7.555555555555555,0
305,Keenan Burton,0.0,52.2,30.0,13.0,190.0,28.0,172.0,64.0,0.91,6.142857142857143,0
306,Josh Morgan,1.0,61.8,48.0,20.0,241.0,39.0,319.0,102.0,1.32,8.179487179487179,0
307,Pierre Garcon,0.0,60.1,12.0,4.0,36.0,4.0,23.0,11.0,0.64,5.75,2
308,Chaz Schilens,1.0,60.0,60.0,15.0,217.0,30.0,226.0,53.0,1.04,7.533333333333333,0
309,Ted Ginn Jr.,1.0,63.6,54.0,34.0,383.0,65.0,420.0,178.0,1.1,6.461538461538462,0
310,Dwayne Bowe,12.0,81.7,58.0,70.0,556.0,118.0,995.0,361.0,1.79,8.432203389830509,3
311,Craig Davis,2.0,63.7,18.0,20.0,219.0,30.0,188.0,78.0,0.86,6.266666666666667,0
312,Anthony Gonzalez,4.0,78.3,57.0,37.0,260.0,51.0,576.0,177.0,2.22,11.294117647058824,0
313,Sidney Rice,1.0,82.5,60.0,31.0,220.0,49.0,396.0,83.0,1.8,8.081632653061224,1
314,Dwayne Jarrett,0.0,53.7,22.0,6.0,78.0,13.0,73.0,1.0,0.94,5.615384615384615,0
315,Steve Smith,16.0,80.1,74.0,87.0,479.0,139.0,1002.0,475.0,2.09,7.2086330935251794,0
316,Steve Smith,1.0,57.5,12.0,8.0,73.0,14.0,63.0,19.0,0.86,4.5,0
317,Jacoby Jones,1.0,61.7,26.0,15.0,121.0,23.0,149.0,50.0,1.23,6.478260869565218,0
318,Yamon Figurs,0.0,73.9,36.0,1.0,11.0,3.0,36.0,2.0,3.27,12.0,0
319,Laurent Robinson,1.0,57.7,74.0,37.0,358.0,69.0,437.0,132.0,1.22,6.333333333333333,0
320,Jason Hill,0.0,47.5,6.0,1.0,24.0,2.0,6.0,0.0,0.25,3.0,0
321,James Jones,3.0,63.9,79.0,47.0,494.0,77.0,676.0,217.0,1.37,8.779220779220779,0
322,Johnnie Lee Higgins,0.0,50.9,16.0,6.0,86.0,7.0,47.0,6.0,0.55,6.714285714285714,0
323,Ryne Robinson,0.0,56.2,12.0,4.0,50.0,8.0,35.0,17.0,0.7,4.375,0
324,Chris Davis,0.0,48.8,13.0,5.0,44.0,9.0,38.0,24.0,0.86,4.222222222222222,0
325,Chris Davis,0.0,60.0,3.0,1.0,6.0,1.0,3.0,7.0,0.5,3.0,0
326,Steve Breaston,1.0,61.2,22.0,8.0,58.0,14.0,92.0,37.0,1.59,6.571428571428571,1
327,Aundrae Allison,2.0,57.2,35.0,8.0,100.0,18.0,122.0,51.0,1.22,6.777777777777778,0
328,Legedu Naanee,1.0,63.0,22.0,8.0,73.0,12.0,69.0,46.0,0.95,5.75,0
329,Courtney Taylor,1.0,61.9,12.0,5.0,41.0,6.0,38.0,16.0,0.93,6.333333333333333,0
330,John Broussard,0.0,69.9,56.0,4.0,54.0,10.0,126.0,6.0,2.33,12.6,0
331,Santonio Holmes,4.0,80.1,67.0,49.0,382.0,83.0,824.0,337.0,2.16,9.927710843373497,1
332,Chad Jackson,1.0,59.5,35.0,13.0,117.0,19.0,152.0,55.0,1.3,8.0,0
333,Sinorice Moss,1.0,53.8,10.0,5.0,25.0,10.0,25.0,24.0,1.0,2.5,0
334,Greg Jennings,11.0,62.9,75.0,45.0,495.0,103.0,632.0,267.0,1.28,6.135922330097087,4
335,Travis Wilson,1.0,56.7,16.0,2.0,72.0,6.0,32.0,5.0,0.44,5.333333333333333,0
336,Derek Hagan,2.0,56.5,24.0,21.0,212.0,36.0,221.0,51.0,1.04,6.138888888888889,0
337,Maurice Stovall,1.0,64.5,27.0,7.0,90.0,12.0,102.0,28.0,1.13,8.5,0
338,Michael Robinson,2.0,52.1,12.0,9.0,51.0,12.0,47.0,52.0,0.92,3.9166666666666665,0
339,Jason Avant,2.0,56.7,18.0,7.0,100.0,12.0,68.0,35.0,0.68,5.666666666666667,0
340,Demetrius Williams,3.0,68.6,77.0,22.0,230.0,39.0,396.0,125.0,1.72,10.153846153846152,0
341,Brandon Marshall,8.0,74.0,71.0,20.0,155.0,35.0,309.0,103.0,1.99,8.82857142857143,8
342,Delanie Walker,1.0,62.6,29.0,2.0,19.0,4.0,30.0,31.0,1.58,7.5,1
343,Jeff Webb,0.0,61.4,11.0,3.0,19.0,4.0,23.0,1.0,1.21,5.75,0
344,David Anderson,3.0,78.4,27.0,1.0,6.0,1.0,27.0,21.0,4.5,27.0,0
345,Marques Colston,5.0,81.5,86.0,70.0,447.0,109.0,1038.0,354.0,2.32,9.522935779816514,7
