Rank,Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG
141,Bruce Ellington (FA),13,13,153,11.8,43,3.3,0,0,110,8.5,29,2.2,0,19,3.60%,22,1,0,4,3,3,1,0,44
142,Andre Roberts (FA),9,11,135,12.3,97,8.8,0,0,38,3.5,19,1.7,0,21,3.80%,24,2,4,5,1,1,0,0,38
143,Ty Montgomery II (FA),6,15,136,41.6,0,0,0,0,0,0,0,0,0,19,0%,0,0,4,0,0,0,0,0,31
144,Ricardo Lockette (FA),8,4,69,17.3,56,14,0,0,13,3.3,4,1,0,7,1.50%,9,1,2,2,2,1,1,0,40
145,Keith Mumphery (FA),16,14,129,9.2,109,7.8,0,0,20,1.4,1,0.1,0,32,5.20%,32,2,1,4,1,0,0,0,26
146,Charles Johnson (FA),11,9,127,14.1,99,11,0,0,28,3.1,6,0.7,0,13,2.90%,17,0,1,4,3,1,0,0,35
147,Cameron Meredith (FA),11,11,120,10.9,69,6.3,0,0,51,4.6,19,1.7,0,16,3.10%,18,0,2,5,2,0,0,0,22
148,Cody Latimer (FA),14,6,59,9.8,27,4.5,0,0,32,5.3,13,2.2,0,11,1.80%,13,2,3,4,0,0,0,0,15
149,Jason Avant (FA),16,15,119,7.9,70,4.7,0,0,49,3.3,11,0.7,0,24,5.20%,30,0,0,3,1,0,0,0,20
150,Darius Jennings (FA),4,14,117,8.4,80,5.7,0,0,37,2.6,7,0.5,1,21,3.50%,29,4,2,5,0,0,0,0,16
151,Jerome Simpson (FA),6,5,54,10.8,38,7.6,0,0,16,3.2,3,0.6,0,19,3.60%,14,3,1,3,0,0,0,0,16
152,Marlon Brown (FA),10,14,112,8,66,4.7,0,0,46,3.3,15,1.1,0,30,4.50%,32,3,1,3,2,0,0,0,22
153,Michael Campanaro (FA),4,5,35,7,8,1.6,0,0,27,5.4,13,2.6,1,6,0.90%,10,0,2,1,0,0,0,0,11
154,Jared Abbrederis (FA),10,9,111,12.3,96,10.7,0,0,15,1.7,0,0,0,16,2.80%,19,1,2,5,1,1,0,0,32
155,Lucky Whitehead (FA),15,6,16,2.7,-4,-0.7,0,0,20,3.3,3,0.5,0,8,1.50%,10,0,1,0,0,0,0,0,8
156,Wes Welker (FA),8,13,102,7.8,52,4,0,0,50,3.8,12,0.9,0,22,4.70%,24,1,2,4,0,0,0,0,14
157,Brian Quick (FA),13,10,102,10.2,63,6.3,0,0,39,3.9,11,1.1,0,32,6.80%,25,4,2,5,1,1,0,0,37
158,Brenton Bersin (FA),9,9,119,13.2,86,9.6,0,0,33,3.7,11,1.2,0,11,2.20%,17,0,0,7,1,1,0,0,30
159,Bradley Marquez (FA),16,13,88,6.8,65,5,0,0,23,1.8,8,0.6,0,22,4.70%,27,1,1,3,0,0,0,0,14
160,Russell Shepard (FA),13,3,28,9.3,27,9,0,0,1,0.3,1,0.3,0,9,1.70%,7,2,2,1,0,0,0,0,18
161,Chris Owusu (FA),3,6,80,13.3,58,9.7,0,0,22,3.7,7,1.2,0,13,2.20%,12,0,1,2,2,1,1,0,43
162,Jeff Janis (FA),16,2,79,39.5,50,25,0,0,29,14.5,4,2,0,12,2.10%,5,1,4,2,2,2,1,0,46
163,Tre McBride III (FA),7,2,8,4,7,3.5,0,0,1,0.5,0,0,0,4,0.70%,5,1,1,0,0,0,0,0,7
164,Corey Fuller (FA),12,4,76,19,67,16.8,0,0,9,2.3,0,0,0,9,1.40%,10,1,0,2,1,1,1,0,48
165,Hakeem Nicks (FA),6,7,54,7.7,32,4.6,0,0,22,3.1,5,0.7,0,14,2.30%,15,1,4,2,0,0,0,0,19
166,Dwayne Bowe (FA),7,5,53,10.6,39,7.8,0,0,14,2.8,7,1.4,1,13,2.20%,9,0,2,3,0,0,0,0,16
167,Kevin Smith (FA),7,3,43,14.3,13,4.3,0,0,30,10,4,1.3,0,5,1.10%,6,0,0,2,1,0,0,0,21
168,Terrelle Pryor Sr. (FA),3,1,42,42,37,37,0,0,5,5,5,5,0,8,1.30%,4,1,3,1,1,1,1,0,42
169,Greg Salas (FA),2,3,41,13.7,27,9,0,0,14,4.7,0,0,0,5,1.10%,7,0,0,2,1,0,0,0,20
170,Preston Parker (FA),2,5,40,8,11,2.2,0,0,29,5.8,5,1,0,12,2.00%,14,4,3,1,0,0,0,0,15
171,Jeremy Ross (FA),11,9,88,9.8,16,1.8,0,0,72,8,25,2.8,0,14,2.10%,17,1,6,3,0,0,0,0,18
172,Trevor Graham (FA),4,4,24,6,-17,-4.3,0,0,41,10.3,8,2,0,4,0.60%,5,0,0,1,0,0,0,0,18
173,Chandler Worthy (FA),3,3,14,4.7,-7,-2.3,0,0,21,7,5,1.7,0,4,0.70%,3,0,0,1,0,0,0,0,12
174,Jonathan Krause (FA),2,2,11,5.5,5,2.5,0,0,6,3,3,1.5,0,4,0.60%,3,0,0,0,0,0,0,0,7
175,Rico Richardson (FA),5,0,0,0,0,0,0,0,0,0,0,0,0,5,0.90%,0,0,0,0,0,0,0,0,0
